"age","cum.deaths","daily.deaths","code","date"
"45-64",4254,3,"NYC",2020-08-09
"65-74",4693,0,"NYC",2020-08-09
"75+",9274,3,"NYC",2020-08-09
"0-17",12,0,"NYC",2020-08-10
"18-44",722,1,"NYC",2020-08-10
"45-64",4255,1,"NYC",2020-08-10
"65-74",4694,1,"NYC",2020-08-10
"75+",9275,1,"NYC",2020-08-10
"0-17",12,0,"NYC",2020-08-11
"18-44",722,0,"NYC",2020-08-11
"45-64",4255,0,"NYC",2020-08-11
"65-74",4695,1,"NYC",2020-08-11
"75+",9280,5,"NYC",2020-08-11
"0-17",12,0,"NYC",2020-08-12
"18-44",722,0,"NYC",2020-08-12
"45-64",4255,0,"NYC",2020-08-12
"65-74",4697,2,"NYC",2020-08-12
"75+",9282,2,"NYC",2020-08-12
"0-17",12,0,"NYC",2020-08-13
"18-44",722,0,"NYC",2020-08-13
"45-64",4256,1,"NYC",2020-08-13
"65-74",4699,2,"NYC",2020-08-13
"75+",9288,6,"NYC",2020-08-13
"0-17",12,0,"NYC",2020-08-14
"18-44",723,1,"NYC",2020-08-14
"45-64",4260,4,"NYC",2020-08-14
"65-74",4701,2,"NYC",2020-08-14
"75+",9290,2,"NYC",2020-08-14
"0-17",12,0,"NYC",2020-08-15
"18-44",723,0,"NYC",2020-08-15
"45-64",4261,1,"NYC",2020-08-15
"65-74",4701,0,"NYC",2020-08-15
"75+",9291,1,"NYC",2020-08-15
"0-17",12,0,"NYC",2020-08-16
"18-44",724,1,"NYC",2020-08-16
"45-64",4261,0,"NYC",2020-08-16
"65-74",4701,0,"NYC",2020-08-16
"75+",9294,3,"NYC",2020-08-16
"0-17",12,0,"NYC",2020-08-17
"18-44",725,1,"NYC",2020-08-17
"45-64",4261,0,"NYC",2020-08-17
"65-74",4701,0,"NYC",2020-08-17
"75+",9295,1,"NYC",2020-08-17
"0-17",12,0,"NYC",2020-08-18
"18-44",725,0,"NYC",2020-08-18
"45-64",4261,0,"NYC",2020-08-18
"65-74",4701,0,"NYC",2020-08-18
"75+",9297,2,"NYC",2020-08-18
"0-17",12,0,"NYC",2020-08-19
"18-44",726,1,"NYC",2020-08-19
"45-64",4261,0,"NYC",2020-08-19
"65-74",4704,3,"NYC",2020-08-19
"75+",9297,0,"NYC",2020-08-19
"0-17",12,0,"NYC",2020-08-20
"18-44",726,0,"NYC",2020-08-20
"45-64",4261,0,"NYC",2020-08-20
"65-74",4706,2,"NYC",2020-08-20
"75+",9297,0,"NYC",2020-08-20
